program,func,DECOMP,RECOMP,INLINE-ASM,TEST-EQUIV,BASIC
fileS5,addentry,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,add_mlist,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,applyparam,PASSED,FAILED,N/A,N/A,FAILED
fileS5,apprentice_1,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,apprentice_buf,PASSED,FAILED,N/A,N/A,FAILED
fileS5,apprentice_compile,PASSED,FAILED,N/A,N/A,FAILED
fileS5,apprentice_list,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,apprentice_load,PASSED,FAILED,N/A,N/A,FAILED
fileS5,apprentice_magic_strength,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,apprentice_map,PASSED,FAILED,N/A,N/A,FAILED
fileS5,apprentice_sort,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,apprentice_unmap,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,asctime_r,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,asprintf,PASSED,FAILED,N/A,N/A,FAILED
fileS5,bad_link,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,bs1,PASSED,FAILED,N/A,N/A,FAILED
fileS5,buffer_apprentice,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,buffer_fill,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,buffer_fini,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,buffer_init,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,byteswap,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_app_to_mime,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_calloc,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_check_stream,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_check_stream_offset,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_check_summary_info,PASSED,FAILED,N/A,N/A,FAILED
fileS5,cdf_clsid_to_mime,PASSED,FAILED,N/A,N/A,FAILED
fileS5,cdf_copy_info,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_count_chain,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_ctime,PASSED,FAILED,N/A,N/A,PASSED
fileS5,cdf_file_catalog,PASSED,FAILED,N/A,N/A,FAILED
fileS5,cdf_file_catalog_info,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_file_dir_info,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_file_property_info,PASSED,FAILED,N/A,N/A,FAILED
fileS5,cdf_file_summary_info,PASSED,FAILED,N/A,N/A,FAILED
fileS5,cdf_find_stream,PASSED,PASSED,PASSED,PASSED,PASSED
fileS5,cdf_getday,PASSED,PASSED,PASSED,PASSED,PASSED
